triplet1,triplet2,score,triplet3
multiple companies,Member-Collation,0.158314377,key hubs
B2B SAS products,Entity-Origin,0.149876207,communication Extension
incredible growth,Component-Whole,0.147449657,Revenue growth
same specific examples,Message-Topic,0.147097185,other channels
best way,Component-Whole,0.138901949,gap analysis
Revenue targets,Instrument-Agency,0.128532514,tremendous Revenue increase
big companies,Member-Collation,0.125470757,R&D tax credits
immediate customers,Cause-Effect,0.090576045,more customization
sales update,Message-Topic,0.088258319,CX updates
more notes,Entity-Destination,0.077757567,last quarter
NPS scores,Cause-Effect,0.073462665,new levels
great shape,Product-Producer,0.06482403,marketing initiative
good numbers,Cause-Effect,0.039868116,NPS score
percent increase,Instrument-Agency,0.038204461,Revenue targets
